NAME,S1903_C01_014E,S1903_C01_021E,S1903_C01_023E,S1903_C01_026E,S1903_C01_019E,S1903_C01_036E,S1903_C01_039E
Geographic Area Name,Estimate!!Number!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over,"Estimate!!Number!!FAMILIES!!Families!!Female householder, no spouse present!!With own children under 18 years","Estimate!!Number!!FAMILIES!!Families!!Male householder, no spouse present!!With own children under 18 years",Estimate!!Number!!FAMILY INCOME BY FAMILY SIZE!!4-person families,Estimate!!Number!!FAMILIES!!Families!!Married-couple families!!With own children under 18 years,Estimate!!Number!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone,Estimate!!Number!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone
Alabama,563140,136730,38859,210985,314991,334701,272479
Alaska,59466,16174,6523,29692,54040,37681,40000
Arizona,814846,167577,78586,301993,481565,394337,347338
Arkansas,327367,83952,28886,123345,210201,186444,152953
California,3377602,802654,347706,1863538,2672991,1765349,1453170
Colorado,542724,113058,49895,259199,436543,328741,316240
Connecticut,406385,91500,28123,168752,248828,234337,177429
Delaware,124872,24237,8021,40540,59382,67227,47451
District of Columbia,64233,18917,2559,19914,29726,85455,68685
Florida,2750027,523697,177556,872119,1255985,1368057,1067779
Georgia,959058,307863,85750,477831,723065,602379,471040
Hawaii,158386,20916,10070,58015,89563,62037,58598
Idaho,190120,32236,18689,76312,155081,90179,77839
Illinois,1323777,296669,107654,586694,898158,833443,694594
Indiana,698612,167273,62920,292183,484642,415889,363782
Iowa,357929,72507,31426,133597,245038,204509,188423
Kansas,307300,66371,28742,121251,227919,186092,161506
Kentucky,487552,110290,41674,194348,310982,276241,233504
Louisiana,488544,149545,46100,188939,273691,301176,245857
Maine,185216,28552,11354,56706,90006,100648,76771
Maryland,612418,154018,49064,292680,436731,375458,282848
Massachusetts,741325,162567,51060,345615,488039,455374,332152
Michigan,1160851,239970,95233,423777,660916,659727,562104
Minnesota,597695,115306,53318,257777,440532,354402,309146
Mississippi,321780,95813,21208,116628,175615,179332,155651
Missouri,678244,150361,53226,258702,423807,412251,331029
Montana,135400,18595,10857,43145,73014,65024,66016
Nebraska,206167,41604,19418,86214,155245,129792,109131
Nevada,308476,78954,37084,124668,199006,165112,168183
New Hampshire,161423,24227,12004,59294,95130,77428,64679
New Jersey,952112,200134,68642,500884,729068,517671,398170
New Mexico,246773,60425,25711,84350,122196,134763,123191
New York,2150241,453669,152312,861784,1229511,1335592,1030178
North Carolina,1114731,271939,80584,450093,708644,693839,534628
North Dakota,78107,14454,9020,28254,56130,48971,58124
Ohio,1343392,324813,114324,500030,779569,810124,694807
Oklahoma,407813,103521,40534,173056,281590,246667,207406
Oregon,486213,86495,41208,175840,292688,262393,216855
Pennsylvania,1549851,300562,111407,566984,858338,871963,708190
Rhode Island,124034,27951,7056,47595,66264,75556,58105
South Carolina,601469,144666,39401,219036,322244,334742,260976
South Dakota,99889,17877,8858,35708,66607,55489,52452
Tennessee,746747,174886,55546,302376,462400,448316,359546
Texas,2367162,781133,250972,1427273,2326042,1448956,1319936
Utah,228621,48878,21769,137239,312918,118317,108678
Vermont,81486,13630,5853,26635,41872,42448,32879
Virginia,865610,190940,70809,386916,638495,527589,415076
Washington,756952,153705,71116,333956,576429,428436,391257
West Virginia,234486,40198,14388,74742,106334,116416,99223
Wisconsin,670745,141620,64296,249250,412475,388274,353928
Wyoming,65022,11787,6444,23873,47029,36038,39050
Puerto Rico,451860,109009,33877,115158,90099,214509,150676